Video name			species			correctness
	Monomorium_floricola_04-01-2011_081642.wmv_patches			Anoplolepis_gracilipes			0
	Monomorium_floricola_04-01-2011_081934.wmv_patches			Technomyrmex_vitiensis			0
	Monomorium_floricola_04-01-2011_082037.wmv_patches			Wasmannia_auropunctata			0
	Monomorium_floricola_04-01-2011_082158.wmv_patches			Wasmannia_auropunctata			0
	Monomorium_floricola_04-01-2011_082407.wmv_patches			Anoplolepis_gracilipes			0
	Monomorium_floricola_04-01-2011_082552.wmv_patches			Anoplolepis_gracilipes			0
	Monomorium_floricola_04-01-2011_082738.wmv_patches			Anoplolepis_gracilipes			0
	Monomorium_floricola_04-01-2011_082751.wmv_patches			Wasmannia_auropunctata			0
	Monomorium_floricola_04-01-2011_082918.wmv_patches			Anoplolepis_gracilipes			0
	Monomorium_floricola_04-01-2011_083102.wmv_patches			Wasmannia_auropunctata			0
	Monomorium_pharaonis_sugar_34-1.wmv_patches			Anoplolepis_gracilipes			0
	Paratrechina_longicornis_03-28-2011_132513.wmv_patches			Wasmannia_auropunctata			0
	Paratrechina_longicornis_03-30-2011_195138.wmv_patches			Paratrechina_longicornis			1
	Paratrechina_longicornis_03-30-2011_195226.wmv_patches			Paratrechina_longicornis			1
	Paratrechina_longicornis_03-30-2011_195335.wmv_patches			Paratrechina_longicornis			1
	Paratrechina_longicornis_03-30-2011_195450.wmv_patches			Solenopsis_geminata			0
	Paratrechina_longicornis_sugar_02-2.wmv_patches			Solenopsis_geminata			0
	Paratrechina_vaga_sugar_33-1.wmv_patches			Anoplolepis_gracilipes			0
	Pheidole_fervens_pb_21-1.wmv_patches			Pheidole_megacephala			0
	Pheidole_megacephala_03-29-2011_171310.wmv_patches			Pheidole_megacephala			1
	Pheidole_megacephala_03-29-2011_172306.wmv_patches			Pheidole_megacephala			1
	Pheidole_megacephala_03-29-2011_172427.wmv_patches			Pheidole_megacephala			1
	Pheidole_megacephala_03-29-2011_173212.wmv_patches			Pheidole_megacephala			1
	Pheidole_megacephala_pb_22-1.wmv_patches			Pheidole_megacephala			1
	Pheidole_umbonata_pb_05-1.wmv_patches			Solenopsis_geminata			0
	Pheidole_umbonata_sugar_04-1.wmv_patches			Tetramorium_bicarinatum			0
	Plagiolepis_alluaudi_04-02-2011_114059.wmv_patches			Wasmannia_auropunctata			0
	Plagiolepis_alluaudi_sugar_12.wmv_patches			Wasmannia_auropunctata			0
	Solenopsis_geminata_03-28-2011_165409.wmv_patches			Solenopsis_geminata			1
	Solenopsis_geminata_03-28-2011_165634.wmv_patches			Anoplolepis_gracilipes			0
	Solenopsis_geminata_03-28-2011_171620.wmv_patches			Solenopsis_geminata			1
	Solenopsis_geminata_pb_31-1.wmv_patches			Solenopsis_geminata			1
	Solenopsis_geminata_sugar_30.wmv_patches			Solenopsis_geminata			1
	Solenopsis_invicta.wmv_patches			Tetramorium_bicarinatum			0
	Solenopsis_papuana_pb_09-1.wmv_patches			Solenopsis_geminata			0
	Solenopsis_papuana_sugar_10-1.wmv_patches			Anoplolepis_gracilipes			0
	Tapinoma_melanocephalum_sugar_03-1.wmv_patches			Solenopsis_geminata			0
	Technomyrmex_vitiensis_04-01-2011_180253.wmv_patches			Brachymyrmex_obscurior			0
	Technomyrmex_vitiensis_sugar_16-1.wmv_patches			Pheidole_megacephala			0
	Tetramorium_bicarinatum_pb_14-1.wmv_patches			Tetramorium_bicarinatum			1
	Tetramorium_bicarinatum_sugar_13-1.wmv_patches			Tetramorium_bicarinatum			1
	Tetramorium_caldarium_04-01-2011_162257.wmv_patches			Pheidole_megacephala			0
	Tetramorium_caldarium_04-01-2011_162344.wmv_patches			Pheidole_megacephala			0
	Tetramorium_caldarium_04-01-2011_162522.wmv_patches			Pheidole_megacephala			0
	Tetramorium_caldarium_04-01-2011_162717.wmv_patches			Pheidole_megacephala			0
	Tetramorium_caldarium_04-01-2011_174926.wmv_patches			Pheidole_megacephala			0
	Tetramorium_lanuginosum_vs_bicarinatum_pb_28-2.wmv_patches			Tetramorium_lanuginosum			1
	Tetramorium_pacificum_pb_23-1.wmv_patches			Solenopsis_geminata			0
	Tetramorium_simillimum_pb_19-1.wmv_patches			Solenopsis_geminata			0
	Tetramorium_simillimum_pb_29-1.wmv_patches			Pheidole_megacephala			0
	Wasmannia_auropunctata_04-01-2011_164444.wmv_patches			Solenopsis_geminata			0
	Wasmannia_auropunctata_pb_49-1.wmv_patches			Solenopsis_geminata			0
21/78 correctly classified
